T_id,App_Name,Vim_Id
CCPE_Hungary,IPFE VNFC Record #0000031779,IPFE9151291773951267459
CCPE_Hungary,NAT VNFC Record #0000031721,NAT9151291773951267448
CCPE_Hungary,SFC VNFC Record #0000031750,SFC9151291773951267453
CCPE_Hungary,vSRX VNFC Record #0000031952,vSRX9151300256451456841
CCPE_Hungary,IPFE VNFC Record #0000031734,IPFE9151291773951267462
CCPE_Hungary,NAT VNFC Record #0000031792,NAT9151291773951267449
CCPE_Hungary,SFC VNFC Record #0000031764,SFC9151291773951267456
CCPE_Croatia,IPFE VNFC Record #0000052672,IPFE9152084194551551117
CCPE_Croatia,NAT VNFC Record #0000052658,NAT9152084194551551108
CCPE_Croatia,SFC VNFC Record #0000052687,SFC9152084194551551113
CCPE_Croatia,vSRX VNFC Record #0000052860,vSRX9152087076951683391
CCPE_Croatia,IPFE VNFC Record #0000052732,IPFE9152084194551551116
CCPE_Croatia,NAT VNFC Record #0000052746,NAT9152084194551551110
CCPE_Croatia,SFC VNFC Record #0000052761,SFC9152084194551551112
